0	12	1
0	21	1
0	37	1
0	109	1
0	131	1
0	150	1
0	296	1
0	154	1
0	158	1
0	296	1
1	6	1
1	41	1
1	68	1
1	133	1
1	202	1
1	212	1
1	293	1
1	308	1
1	315	1
1	316	1
1	18	1
1	20	1
1	28	1
1	35	1
1	36	1
1	41	1
1	46	1
1	59	1
1	65	1
1	66	1
1	69	1
1	71	1
1	76	1
1	77	1
1	80	1
1	89	1
1	97	1
1	105	1
1	108	1
1	110	1
1	113	1
1	120	1
1	125	1
1	126	1
1	133	1
1	138	1
1	147	1
1	153	1
1	155	1
1	156	1
1	157	1
1	166	1
1	169	1
1	182	1
1	191	1
1	203	1
1	213	1
1	215	1
1	221	1
1	223	1
1	226	1
1	228	1
1	233	1
1	235	1
1	249	1
1	252	1
1	271	1
1	283	1
1	307	1
1	308	1
1	316	1
1	322	1
1	326	1
1	331	1
1	336	1
1	340	1
1	344	1
1	348	1
1	356	1
2	41	1
2	68	1
2	160	1
2	202	1
2	223	1
2	293	1
2	316	1
3	326	1
4	111	1
4	171	1
4	196	1
4	218	1
4	238	1
4	257	1
4	292	1
4	324	1
4	47	1
4	111	1
4	171	1
4	218	1
4	243	1
5	167	1
5	311	1
6	35	1
6	41	1
6	172	1
6	202	1
6	212	1
6	242	1
6	325	1
6	1	1
6	26	1
6	35	1
6	41	1
6	45	1
6	75	1
6	90	1
6	113	1
6	135	1
6	147	1
6	156	1
6	157	1
6	223	1
6	277	1
6	308	1
6	325	1
7	14	1
7	22	1
7	25	1
7	75	1
7	115	1
7	140	1
7	203	1
7	215	1
7	223	1
7	249	1
7	312	1
7	319	1
7	350	1
8	202	1
8	308	1
8	223	1
8	316	1
9	124	1
9	223	1
9	249	1
9	251	1
10	129	1
10	24	1
10	110	1
10	162	1
10	177	1
10	192	1
10	223	1
11	56	1
11	122	1
11	171	1
11	257	1
11	265	1
11	324	1
11	346	1
11	171	1
12	21	1
12	104	1
12	110	1
12	234	1
12	296	1
12	0	1
12	20	1
12	21	1
12	38	1
12	60	1
12	104	1
12	110	1
12	144	1
12	234	1
12	255	1
12	268	1
12	296	1
12	320	1
12	326	1
12	357	1
13	109	1
13	124	1
13	219	1
13	219	1
13	282	1
14	133	1
14	7	1
14	49	1
14	153	1
14	192	1
14	249	1
14	271	1
14	276	1
14	309	1
14	312	1
14	319	1
14	329	1
15	116	1
15	342	1
16	326	1
16	327	1
16	332	1
17	133	1
18	1	1
18	110	1
18	133	1
18	182	1
18	212	1
18	272	1
18	311	1
18	317	1
19	292	1
20	1	1
20	12	1
20	32	1
20	37	1
20	41	1
20	60	1
20	91	1
20	94	1
20	98	1
20	107	1
20	109	1
20	116	1
20	122	1
20	133	1
20	136	1
20	144	1
20	150	1
20	152	1
20	171	1
20	175	1
20	182	1
20	184	1
20	196	1
20	198	1
20	234	1
20	238	1
20	240	1
20	255	1
20	257	1
20	274	1
20	275	1
20	279	1
20	295	1
20	296	1
20	303	1
20	304	1
20	319	1
20	327	1
20	329	1
20	335	1
20	340	1
20	343	1
20	345	1
20	347	1
20	30	1
20	32	1
20	43	1
20	56	1
20	60	1
20	81	1
20	91	1
20	94	1
20	107	1
20	110	1
20	122	1
20	141	1
20	144	1
20	154	1
20	171	1
20	175	1
20	177	1
20	184	1
20	198	1
20	199	1
20	238	1
20	243	1
20	255	1
20	257	1
20	259	1
20	268	1
20	274	1
20	275	1
20	279	1
20	295	1
20	303	1
20	304	1
20	319	1
20	326	1
20	329	1
20	335	1
20	340	1
20	343	1
21	12	1
21	37	1
21	109	1
21	131	1
21	150	1
21	190	1
21	194	1
21	251	1
21	265	1
21	296	1
21	316	1
21	336	1
21	357	1
21	0	1
21	12	1
21	56	1
21	60	1
